job ID,task index,max(maximum CPU rate),avg_CPU_rate
6461556873,1097,6.602,0.563648703923848
6461892793,226,6.477,0.5244299862533808
6281739602,4034,3.59,0.4790000021457672
6289091797,98,20.66,0.4768493716643813
6461556873,1423,5.055,0.4592122176869048
6461556873,628,6.406,0.4477562429383397
6382260163,256,0.9473,0.42769992341830704
6350925644,235,2.547,0.42085666706164676
6347798876,21,0.9697,0.41813782034842006
6347798876,15,1.004,0.41801148923440723
6417105216,152,0.8955,0.413192483050556
6272076905,0,4.391,0.4125929861334704
6382260163,251,0.8486,0.4090272651286796
6382337972,199,0.9756,0.40872034890344366
6382337972,169,0.5234,0.40819693070370705
6349495357,8,3.105,0.4077561412206186
6393839021,105,0.9375,0.40685413764982387
6377914363,60,0.9619,0.40566315879446585
6382260163,49,0.9512,0.40540490578083943
6377913906,198,0.959,0.4030308011634689
6349495357,10,0.9492,0.402710982340134
6382260163,203,0.9219,0.4023554926427702
6349495357,19,1.217,0.4021044305492459
6347798876,4,0.9707,0.40128665381164935
6382260163,9,0.915,0.3998472639359534
6382337972,147,0.918,0.3998160985764116
6382337972,60,0.9336,0.3995531091553858
6382260163,136,0.9756,0.3993122079332049
6402715861,36,0.9814,0.3990270726249686
6382260163,143,0.9541,0.3988891524573167
6382260163,36,0.9346,0.39730046096180255
6415841416,0,1.852,0.3969018166376786
6417105216,58,0.9541,0.39659598218114456
6402715861,145,0.9512,0.39536134435911663
6393839021,83,4.984,0.39382989906007426
6382337972,227,0.9199,0.39342781688107853
6402715861,226,0.9854,0.39318508477299474
6377913906,36,0.9668,0.39292242479536477
6382260163,38,0.9443,0.39171435333167515
6349495357,22,0.9688,0.3915685201562675
6454701925,436,2.117,0.3909816835075617
6349495357,15,0.9268,0.3903262875766294
6402715861,167,0.8896,0.38999802702372627
6382260163,196,0.583,0.3898691902286373
6382260163,158,0.9033,0.38981666485002886
6402715861,253,0.9355,0.3891141361964401
6349495357,4,1.332,0.38910045518882963
6377913906,61,0.9893,0.3884306964205785
6382337972,12,0.8516,0.38838476556437934
6382322787,55,0.5352,0.38789582395838806
6382337972,150,0.9482,0.3876815303694457
6382260163,41,0.957,0.38767693204960474
6347798876,13,1.139,0.38622707473890233
6377914363,393,0.9609,0.3861148024133096
6349495357,3,1.084,0.3858929473882247
6347798876,12,0.9785,0.38576750714217495
6393839021,146,1.258,0.3856225014664233
6382337972,196,0.5469,0.38514131026617676
6377914363,191,0.9443,0.38492684716350467
6349495357,5,0.9697,0.3849091617989221
6382337972,231,0.9521,0.38463645696174353
6382260163,215,0.502,0.38372118722327286
6349495357,0,0.9307,0.3831134651474462
6461556873,1247,2.73,0.3827222202801042
6347798876,36,1.303,0.3823521219410709
6347798876,38,0.9785,0.38183911948400584
6382260163,235,0.9326,0.3817855353777607
6402715861,169,1.777,0.3814420618790401
6402715861,241,0.8555,0.3812966439789826
6377914363,319,0.8945,0.3811448485898187
6377914363,118,0.874,0.380488426557609
6402715861,317,0.9395,0.38027229315983796
6377914363,45,0.9668,0.38020046692496784
6347798876,14,0.9287,0.3801555058197935
6347815009,2,0.9785,0.3801008104573844
6402715861,34,0.9229,0.3796141849182147
6382337972,175,1.162,0.37930950058507734
6402715861,147,0.9443,0.3791750731678413
6464224372,226,4.312,0.37914789810599514
6402715861,166,0.9434,0.3789641372734747
6347815009,39,0.9609,0.37773190372778725
6347798876,10,0.9336,0.37762286313327736
6382260163,132,0.9434,0.37709620339640726
6347798876,30,0.9355,0.3769591225294821
6461556873,100,1.551,0.3765899997204542
6382260163,154,0.875,0.3763967074883112
6377913906,29,0.9443,0.37638816714752465
6377914363,46,0.9619,0.37624310517373183
6347783491,33,0.9453,0.37601705162350774
6382337972,153,0.9492,0.37600294640287757
6382260163,2,0.9463,0.3752424026839435
6382260163,211,0.8975,0.374810598581098
6382260163,174,11.89,0.3747432003185774
6347798876,24,0.9639,0.3746243432090667
6464224372,33,5.656,0.3745119403276407
6417105216,287,3.812,0.3743199082026776
6382260163,43,0.9297,0.37405009638750925
6393839021,176,0.9355,0.37388814257740577
6437821245,0,0.9961,0.37369244929631146
6377914363,312,1.609,0.37357526455889456
6359793838,24,0.623,0.3734999895095825
6382260163,67,0.8877,0.3734949422883801
6382260163,137,0.8711,0.3733117744481812
6349495357,39,0.9307,0.3732977871550247
6349495357,25,1.115,0.37297821974974465
6349499085,20,0.9697,0.37286029937968124
6402715861,17,5.75,0.372785400013007
6382322787,38,0.9521,0.372774185394519
6393839021,101,0.4937,0.3723733341942231
6417156362,57,0.9521,0.37216441171282594
6382337972,171,0.958,0.3719262154700118
6402715861,340,1.254,0.37156761359074153
6382260163,128,0.8389,0.37155880089849236
6377913906,92,1.463,0.3714383531914791
6349495357,28,0.9199,0.37121007353481317
6382337972,215,0.6875,0.3710370182022664
6402715861,263,0.9131,0.3705498520866968
6382260163,214,0.9043,0.37045539828638235
6402715861,88,1.035,0.370301463765957
6347783491,39,0.9434,0.37019726591735924
6378907546,69,0.9434,0.3700166033148499
6382260163,14,0.9053,0.3699387216824107
6382337972,207,1.305,0.36991881677143584
6349472134,27,0.959,0.36978976568826377
6377913906,349,0.9502,0.36974341384120635
6464224372,109,1.27,0.36952739864554107
6382260163,220,0.9365,0.3694402045609119
6377913906,377,0.8691,0.369416001602076
6402715861,142,0.9111,0.36924449604703113
6377914363,22,0.9561,0.368963002210616
6347783491,0,0.918,0.36886649562075036
6349495357,12,1.201,0.3686096500605345
6417156362,391,0.918,0.3685670336514401
6275424006,782,8.766,0.36820257431827486
6382260163,135,0.8838,0.3680192038960134
6377914363,330,0.9395,0.36800814400859444
6382322787,164,0.9873,0.36791810148133663
6378907546,167,0.9199,0.3678944158766951
6402715861,188,0.9521,0.3678434966963583
6382260163,83,0.6826,0.36768960101374737
6377914363,387,0.8799,0.36755075183048447
6382260163,272,0.9453,0.36730804700249187
6382260163,22,0.9082,0.3672236348424728
6382322787,16,0.9619,0.36708332741545746
6382322787,143,0.8057,0.3670287941204151
6377913906,280,0.9092,0.36664010059757857
6377913906,64,0.8691,0.36642171937273815
6377914363,226,0.9365,0.3663625916576296
6382260163,94,0.9092,0.365657742429903
6382260163,10,0.9121,0.3654272701513643
6382337972,86,0.8447,0.365422400389798
6377913906,217,0.9072,0.3653970267914701
6402715861,266,0.9219,0.36528972402032067
6349472134,30,0.9473,0.3648668195141425
6402715861,249,0.9043,0.3648504337553667
6425134330,176,1.217,0.36468436890936573
6382337972,1,0.9072,0.36457037809304893
6349495357,1,0.8223,0.36450040303925807
6382337972,133,0.584,0.36437017934513277
6461556873,1714,2.008,0.3641857164246695
6347783491,36,0.8955,0.3641089336324141
